"corpus","user/it3/oct_GZQS3fc7aPtWJBbZbMEFoQ"
"subcorpus","-"
Item,Frequency (focus),Frequency (reference),Relative frequency (focus),Relative frequency (reference),Score
"Outstanding amountb",13,0,83.34562,0.00000,84.346
"emission of a company",13,0,83.34562,0.00000,84.346
"economic activity datum",13,96,83.34562,0.00156,84.214
"data need",14,4908,89.75682,0.07969,84.058
"facilitation activity",13,270,83.34562,0.00438,83.977
"lifetime emission",13,292,83.34562,0.00474,83.948
"downstream emission",13,325,83.34562,0.00528,83.903
"emission calculation",13,398,83.34562,0.00646,83.804
"nitrogen trifluoride",13,430,83.34562,0.00698,83.761
"fluctuation analysis",13,442,83.34562,0.00718,83.745
"underwriting activity",13,448,83.34562,0.00727,83.736
"calculation method",15,9913,96.16802,0.16096,83.696
"LI mi",13,558,83.34562,0.00906,83.588
"known use",14,5482,89.75682,0.08901,83.339
"financial accounting",17,19989,108.99043,0.32457,83.039
"associated emission",13,977,83.34562,0.01586,83.028
"outstanding loan",15,10513,96.16802,0.17070,83.000
"actual building",14,5772,89.75682,0.09372,82.980
"third-party datum",14,6447,89.75682,0.10468,82.156
"dollar of revenue",13,1932,83.34562,0.03137,81.780
"accounting period",15,11719,96.16802,0.19029,81.634
"private company",50,183383,320.56009,2.97767,80.841
"Technical guidance",15,12598,96.16802,0.20456,80.667
"data limitation",13,2898,83.34562,0.04706,80.555
"detailed summary",14,8114,89.75682,0.13175,80.192
"illustrative example",15,13208,96.16802,0.21446,80.009
"loan origination",14,8990,89.75682,0.14597,79.196
"financial control",15,14828,96.16802,0.24077,78.313
"PCAF guidance",12,0,76.93442,0.00000,77.934
"including data need",12,0,76.93442,0.00000,77.934
"summary of the data quality",12,0,76.93442,0.00000,77.934
"GHG accounting methodology",12,0,76.93442,0.00000,77.934
"attribution principle",12,0,76.93442,0.00000,77.934
"absolute insurance-associated emission",12,0,76.93442,0.00000,77.934
"using official statistical datum",12,0,76.93442,0.00000,77.934
"providing region",12,0,76.93442,0.00000,77.934
"IFRS S2",12,0,76.93442,0.00000,77.934
"respective energy source",12,0,76.93442,0.00000,77.934
"Weighted data quality score",12,0,76.93442,0.00000,77.934
"detailed summary of the data",12,0,76.93442,0.00000,77.934
"actual building energy",12,0,76.93442,0.00000,77.934
"Emission factor for the sector",12,0,76.93442,0.00000,77.934
"tables providing region",12,0,76.93442,0.00000,77.934
"factor for the sector",12,0,76.93442,0.00000,77.934
"absolute financed emission",12,0,76.93442,0.00000,77.934
"official statistical datum",12,155,76.93442,0.00252,77.739
"investment in private companies",12,203,76.93442,0.00330,77.678
"tables provide",12,289,76.93442,0.00469,77.570
"respective energy",12,403,76.93442,0.00654,77.428
"accounting approach",12,727,76.93442,0.01180,77.025
"supplemental guidance",12,1157,76.93442,0.01879,76.497
"summary of the data",12,1345,76.93442,0.02184,76.269
"real economy",17,27280,108.99043,0.44296,76.226
"base year",15,17046,96.16802,0.27678,76.104
"emissions factor",12,1502,76.93442,0.02439,76.079
"debt security",15,17738,96.16802,0.28802,75.440
"market capitalization",19,38681,121.81283,0.62808,75.434
"estimation model",12,2124,76.93442,0.03449,75.336
"economic activity",46,183836,294.91528,2.98503,74.257
"actual energy",12,3164,76.93442,0.05138,74.126
"building type",14,13899,89.75682,0.22568,74.046
